3 Prime   = 5
4 Prime   = 7
5 Prime   = 11
6 Prime   = 13
7 Prime   = 16
8 Prime   = 17
9 Prime   = 19
10 Prime   = 23
11 Prime   = 29
12 Prime   = 31
13 Prime   = 37
14 Prime   = 41
15 Prime   = 43
16 Prime   = 47
17 Prime   = 53
18 Prime   = 59
19 Prime   = 61
20 Prime   = 67
21 Prime   = 71
22 Prime   = 73
23 Prime   = 79
24 Prime   = 83
25 Prime   = 89
26 Prime   = 97
27 Prime   = 101
28 Prime   = 103
29 Prime   = 107
30 Prime   = 109
31 Prime   = 113
32 Prime   = 127
33 Prime   = 131
34 Prime   = 137
35 Prime   = 139
36 Prime   = 149
37 Prime   = 151
38 Prime   = 157
39 Prime   = 163
40 Prime   = 167
41 Prime   = 173
42 Prime   = 179
43 Prime   = 181
44 Prime   = 191
45 Prime   = 193
46 Prime   = 197
47 Prime   = 199
48 Prime   = 211
49 Prime   = 223
50 Prime   = 227
51 Prime   = 229
52 Prime   = 233
53 Prime   = 239
54 Prime   = 241
55 Prime   = 251
56 Prime   = 257
57 Prime   = 263
58 Prime   = 269
59 Prime   = 271
60 Prime   = 277
61 Prime   = 281
62 Prime   = 283
63 Prime   = 293
64 Prime   = 307
65 Prime   = 311
66 Prime   = 313
67 Prime   = 317
68 Prime   = 331
69 Prime   = 337
70 Prime   = 347
71 Prime   = 349
72 Prime   = 353
73 Prime   = 359
74 Prime   = 367
75 Prime   = 373
76 Prime   = 379
77 Prime   = 383
78 Prime   = 389
79 Prime   = 397
80 Prime   = 401
81 Prime   = 409
82 Prime   = 419
83 Prime   = 421
84 Prime   = 431
85 Prime   = 433
86 Prime   = 439
87 Prime   = 443
88 Prime   = 449
89 Prime   = 457
90 Prime   = 461
91 Prime   = 463
92 Prime   = 467
93 Prime   = 479
94 Prime   = 487
95 Prime   = 491
96 Prime   = 499
97 Prime   = 503
98 Prime   = 509
99 Prime   = 521
100 Prime   = 523
101 Prime   = 541
102 Prime   = 547
103 Prime   = 557
104 Prime   = 563
105 Prime   = 569
106 Prime   = 571
107 Prime   = 577
108 Prime   = 587
109 Prime   = 593
110 Prime   = 599
111 Prime   = 601
112 Prime   = 607
113 Prime   = 613
114 Prime   = 617
115 Prime   = 619
116 Prime   = 631
117 Prime   = 641
118 Prime   = 643
119 Prime   = 647
120 Prime   = 653
121 Prime   = 659
122 Prime   = 661
123 Prime   = 673
124 Prime   = 677
125 Prime   = 683
126 Prime   = 691
127 Prime   = 701
128 Prime   = 709
129 Prime   = 719
130 Prime   = 727
131 Prime   = 733
132 Prime   = 739
133 Prime   = 743
134 Prime   = 751
135 Prime   = 757
136 Prime   = 761
137 Prime   = 769
138 Prime   = 773
139 Prime   = 787
140 Prime   = 797
141 Prime   = 809
142 Prime   = 811
143 Prime   = 821
144 Prime   = 823
145 Prime   = 827
146 Prime   = 829
147 Prime   = 839
148 Prime   = 853
149 Prime   = 857
150 Prime   = 859
151 Prime   = 863
152 Prime   = 877
153 Prime   = 881
154 Prime   = 883
155 Prime   = 887
156 Prime   = 907
157 Prime   = 911
158 Prime   = 919
159 Prime   = 929
160 Prime   = 937
161 Prime   = 941
162 Prime   = 947
163 Prime   = 953
164 Prime   = 967
165 Prime   = 971
166 Prime   = 977
167 Prime   = 983
168 Prime   = 991
169 Prime   = 997
170 Prime   = 1009
171 Prime   = 1013
172 Prime   = 1019
173 Prime   = 1021
174 Prime   = 1031
175 Prime   = 1033
176 Prime   = 1039
177 Prime   = 1049
178 Prime   = 1051
179 Prime   = 1061
180 Prime   = 1063
181 Prime   = 1069
182 Prime   = 1087
183 Prime   = 1091
184 Prime   = 1093
185 Prime   = 1097
186 Prime   = 1103
187 Prime   = 1109
188 Prime   = 1117
189 Prime   = 1123
190 Prime   = 1129
191 Prime   = 1151
192 Prime   = 1153
193 Prime   = 1163
194 Prime   = 1171
195 Prime   = 1181
196 Prime   = 1187
197 Prime   = 1193
198 Prime   = 1201
199 Prime   = 1213
200 Prime   = 1217
201 Prime   = 1223
202 Prime   = 1229
203 Prime   = 1231
204 Prime   = 1237
205 Prime   = 1249
206 Prime   = 1259
207 Prime   = 1277
208 Prime   = 1279
209 Prime   = 1283
210 Prime   = 1289
211 Prime   = 1291
212 Prime   = 1297
213 Prime   = 1301
214 Prime   = 1303
